index,id_distr_bank,year,newid,baseline_PSU,dummy_settle_without_na_11,dummy_settle_without_na_2,dummy_settle_without_na_3,dummy_settle_without_na_1,dummy_settle_without_na_12,dummy_settle_without_na_4,dummy_settle_without_na_5,dummy_settle_without_na_13,dummy_settle_without_na_21,dummy_settle_without_na_22,dummy_settle_without_na_23,dummy_settle_without_na_255
78.0,18.0,2015.0,13102.0,142.0,0.5068326012689116,0.021473889702293802,0.47047340165934604,0.0,0.0,0.0,0.0012201073694485115,0.0,0.0,0.0,0.0,0.0
79.0,16.0,2015.0,13106.0,64.0,0.5223819301848049,0.0406570841889117,0.4320328542094456,0.002053388090349076,0.0,0.002874743326488706,0.0,0.0,0.0,0.0,0.0,0.0
80.0,213.0,2015.0,13110.0,223.0,0.4442404772831574,0.06447911886186324,0.49128040385497934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,195.0,2015.0,13111.0,529.0,0.4134881149806523,0.09851707645348139,0.4281971783594107,0.0020429254692719977,0.03218208474535535,0.00012017208642776456,0.0009854111087076694,0.0,0.024467036796692865,0.0,0.0,0.0
82.0,155.0,2015.0,13115.0,151.0,0.5217391304347826,0.0,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,171.0,2015.0,13130.0,207.0,0.4666666666666667,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,172.0,2015.0,13130.0,208.0,0.4666666666666667,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,268.0,2015.0,13139.0,188.0,0.458715970776703,0.0552222358271091,0.4817762540304477,0.0,0.0,4.0814660626096896e-05,0.004244724705114077,0.0,0.0,0.0,0.0,0.0
86.0,266.0,2015.0,13144.0,183.0,0.5060846560846561,0.1037037037037037,0.36084656084656086,0.00026455026455026457,0.0,0.0,0.0291005291005291,0.0,0.0,0.0,0.0,0.0
87.0,143.0,2015.0,13144.0,194.0,0.5060846560846561,0.1037037037037037,0.36084656084656086,0.00026455026455026457,0.0,0.0,0.0291005291005291,0.0,0.0,0.0,0.0,0.0
88.0,174.0,2015.0,13153.0,210.0,0.4900624645088018,0.016467915956842702,0.4611016467915957,0.0,0.0,0.0,0.03236797274275979,0.0,0.0,0.0,0.0,0.0
89.0,173.0,2015.0,13161.0,209.0,0.4900624645088018,0.016467915956842702,0.4611016467915957,0.0,0.0,0.0,0.03236797274275979,0.0,0.0,0.0,0.0,0.0
90.0,11.0,2015.0,13171.0,526.0,0.44499241274658574,0.13050075872534142,0.3091805766312595,0.009863429438543247,0.0,0.0,0.0838391502276176,0.0,0.021623672230652504,0.0,0.0,0.0
91.0,12.0,2015.0,13171.0,527.0,0.44499241274658574,0.13050075872534142,0.3091805766312595,0.009863429438543247,0.0,0.0,0.0838391502276176,0.0,0.021623672230652504,0.0,0.0,0.0
92.0,10.0,2015.0,13174.0,524.0,0.44636879639062726,0.13666133022849658,0.4159510988211323,0.001018774559743851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,228.0,2015.0,13175.0,180.0,0.48055987558320373,0.01088646967340591,0.48833592534992226,0.004665629860031105,0.0,0.0,0.015552099533437015,0.0,0.0,0.0,0.0,0.0
94.0,227.0,2015.0,13175.0,176.0,0.48055987558320373,0.01088646967340591,0.48833592534992226,0.004665629860031105,0.0,0.0,0.015552099533437015,0.0,0.0,0.0,0.0,0.0
95.0,224.0,2015.0,13178.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,225.0,2015.0,13189.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97.0,265.0,2015.0,13212.0,54.0,0.4889842864085534,0.04859873643285274,0.4281548679734327,0.0013769641989308278,0.0,0.0,0.03288514498623036,0.0,0.0,0.0,0.0,0.0
98.0,267.0,2015.0,13212.0,186.0,0.4889842864085534,0.04859873643285274,0.4281548679734327,0.0013769641989308278,0.0,0.0,0.03288514498623036,0.0,0.0,0.0,0.0,0.0
99.0,19.0,2015.0,13216.0,212.0,0.4754286309865027,0.06503726093074157,0.45942988170305904,0.00010422637969670123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,22.0,2015.0,13216.0,216.0,0.4754286309865027,0.06503726093074157,0.45942988170305904,0.00010422637969670123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,23.0,2015.0,13222.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,125.0,2015.0,13223.0,192.0,0.5140149223633798,0.05747126436781609,0.42105263157894735,0.0,0.0,0.0,0.007461181689856826,0.0,0.0,0.0,0.0,0.0
103.0,142.0,2015.0,13226.0,49.0,0.43454067179279643,0.0839740995548361,0.3973087818696884,0.0006070416835289356,0.06515580736543909,0.0,0.0,0.018413597733711047,0.0,0.0,0.0,0.0
104.0,126.0,2015.0,14167.0,193.0,0.5607638888888888,0.09056712962962964,0.3472222222222222,0.0,0.0,0.0,0.0014467592592592592,0.0,0.0,0.0,0.0,0.0
105.0,101.0,2015.0,21784.0,36.0,0.44473007712082263,0.0,0.5552699228791774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,247.0,2015.0,21842.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,128.0,2015.0,21849.0,478.0,0.47653989251756923,0.032658123191401406,0.458350558081852,0.0014468788755684168,0.0,0.0,0.03100454733360893,0.0,0.0,0.0,0.0,0.0
108.0,246.0,2015.0,21871.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,129.0,2015.0,22037.0,480.0,0.5022109917877448,0.07201516108654453,0.36007580543272266,0.027163613392293114,0.0,0.0006317119393556538,0.03790271636133923,0.0,0.0,0.0,0.0,0.0
110.0,152.0,2015.0,22171.0,442.0,0.43065529622980253,0.09964093357271095,0.40484739676840215,0.0004488330341113106,0.05745062836624776,0.0006732495511669659,0.0062836624775583485,0.0,0.0,0.0,0.0,0.0
111.0,88.0,2015.0,22211.0,610.0,0.4962962962962963,0.07407407407407407,0.42962962962962964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,27.0,2015.0,22288.0,404.0,0.5316205533596838,0.04496047430830039,0.3942687747035573,0.023221343873517788,0.0,0.003952569169960474,0.001976284584980237,0.0,0.0,0.0,0.0,0.0
113.0,210.0,2015.0,22298.0,547.0,0.4202687388700016,0.09519184069936863,0.45253898872160164,0.002644217797204684,0.013382979871566563,5.3963628514381306e-05,0.0,0.0,0.015919270411742487,0.0,0.0,0.0
114.0,100.0,2015.0,22307.0,35.0,0.5044359949302915,0.045627376425855515,0.449936628643853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,176.0,2015.0,22453.0,177.0,0.49142857142857144,0.001142857142857143,0.5074285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,198.0,2015.0,22549.0,166.0,0.32982480437642825,0.08811716640121875,0.40049165570251366,0.005643653486600651,0.10567135239941833,0.0003808600512429887,0.037255037739768716,0.0232670867668444,0.0010733328716847864,0.008275050204279481,0.0,0.0
117.0,175.0,2015.0,22560.0,174.0,0.4854785478547855,0.006600660066006601,0.5079207920792079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,150.0,2015.0,22609.0,392.0,0.4514443458542837,0.1085477669328601,0.4131913635019225,0.003746426106674554,0.015478655230208025,0.0004929508035098097,0.0,0.0025633441782510107,0.0045351473922902496,0.0,0.0,0.0
119.0,151.0,2015.0,24399.0,441.0,0.4514443458542837,0.1085477669328601,0.4131913635019225,0.003746426106674554,0.015478655230208025,0.0004929508035098097,0.0,0.0025633441782510107,0.0045351473922902496,0.0,0.0,0.0
120.0,67.0,2015.0,22744.0,120.0,0.4713313896987366,0.03206997084548105,0.4859086491739553,0.0,0.0,0.0,0.010689990281827016,0.0,0.0,0.0,0.0,0.0
121.0,64.0,2015.0,22744.0,115.0,0.4713313896987366,0.03206997084548105,0.4859086491739553,0.0,0.0,0.0,0.010689990281827016,0.0,0.0,0.0,0.0,0.0
122.0,65.0,2015.0,24212.0,117.0,0.4713313896987366,0.03206997084548105,0.4859086491739553,0.0,0.0,0.0,0.010689990281827016,0.0,0.0,0.0,0.0,0.0
